service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type
1,1,,,5B,06:29:00,10:14:00,Walk in
2,2,,,7A,06:32:00,08:02:00,Walk in
3,1,,,1A,06:33:00,07:47:00,Walk in
4,4,,,4B,06:33:00,08:09:00,Walk in
5,2,,,16,06:36:00,07:45:00,Walk in
6,1,,,3,06:44:00,07:16:00,Walk in
7,1,,,6,06:44:00,08:27:00,Walk in
8,1,,,11,06:44:00,07:48:00,Walk in
9,2,,,4A,06:48:00,07:50:00,Walk in
10,1,07:07:00,07:15:00,3B,07:17:00,09:26:00,Walk in
11,1,,,11,07:08:00,07:50:00,Walk in
12,2,,,8B,07:15:00,08:27:00,In house
13,2,,,8C,07:25:00,08:27:00,In house
14,1,,,8A,07:26:00,08:36:00,Walk in
15,2,,,7B,07:28:00,08:19:00,In house
16,4,,,15,07:29:00,08:38:00,Walk in
17,2,,,9A,07:35:00,08:07:00,In house
18,2,,,14,07:38:00,08:30:00,In house
19,2,,,12,07:40:00,09:31:00,Walk in
20,1,,,7C,07:47:00,08:13:00,Walk in
21,2,,,16,07:49:00,08:12:00,In house
22,3,,,11,07:51:00,10:15:00,Walk in
23,1,,,1A,07:55:00,08:19:00,In house
24,2,,,10B,07:57:00,08:25:00,In house
25,2,,,9B,08:02:00,08:36:00,In house
26,4,,,2,08:05:00,09:21:00,Walk in
27,2,,,4A,08:06:00,08:28:00,Walk in
28,1,,,1B,08:12:00,08:48:00,In house
29,4,,,4B,08:13:00,08:50:00,In house
30,2,,,7A,08:14:00,09:46:00,Walk in
31,1,,,1A,08:20:00,09:41:00,Walk in
32,2,,,16,08:17:00,09:30:00,Walk in
33,4,,,6,08:29:00,09:46:00,Walk in
34,2,,,7C,08:20:00,10:00:00,Walk in
35,1,,,7B,08:23:00,08:48:00,In house
36,2,,,9A,08:23:00,09:12:00,Walk in
37,2,08:25:00,08:48:00,1B,08:48:00,10:05:00,Walk in
38,2,,,8B,08:29:00,10:21:00,Walk in
39,1,,,10B,08:34:00,10:49:00,Walk in
40,5,,,13-14,08:43:00,09:50:00,In house
41,1,,,10A,08:46:00,09:24:00,In house
42,2,,,9B,08:50:00,09:17:00,Walk in
43,4,,,15,08:51:00,09:41:00,Walk in
44,2,,,3B,08:52:00,09:25:00,In house
45,1,,,8C,08:54:00,09:30:00,In house
46,2,,,7B,08:55:00,09:35:00,In house
47,1,08:56:00,09:00:00,8A,09:00:00,10:09:00,Walk in
48,1,08:56:00,09:12:00,9A,09:12:00,11:00:00,Walk in
49,3,09:08:00,09:23:00,1B-2A,09:23:00,10:08:00,Walk in
50,1,09:09:00,09:24:00,10A,09:24:00,09:45:00,Walk in
51,2,09:10:00,09:20:00,99,09:20:00,09:44:00,In house
52,2,09:10:00,09:25:00,3B,09:25:00,09:52:00,In house
53,2,09:11:00,09:43:00,15,09:43:00,10:18:00,In house
54,2,09:14:00,09:30:00,4A,09:30:00,09:52:00,In house
55,1,09:15:00,09:36:00,9B,09:36:00,11:48:00,Walk in
56,2,09:15:00,09:38:00,13,09:38:00,10:21:00,In house
57,2,09:21:00,09:39:00,7B,09:39:00,10:27:00,Walk in
58,1,09:21:00,09:42:00,,,,In house
59,2,09:22:00,09:42:00,1A,09:42:00,11:03:00,Walk in
60,1,09:31:00,09:48:00,7A,09:48:00,11:21:00,Walk in
61,2,09:32:00,09:54:00,4A,09:54:00,10:56:00,Walk in
62,2,09:36:00,09:51:00,4B,09:51:00,11:23:00,Walk in
63,2,09:40:00,09:52:00,5A,09:52:00,10:40:00,Walk in
64,3,,,2B-3A,09:57:00,11:28:00,Walk in
65,2,,,10A,09:59:00,10:45:00,Walk in
66,2,,,14,10:00:00,11:27:00,Walk in
67,2,,,6,10:04:00,11:25:00,Walk in
68,2,,,7C,10:05:00,11:21:00,Walk in
69,1,,,8A,10:11:00,10:22:00,Walk in
70,2,,,13,10:12:00,11:00:00,In house
71,2,,,11,10:16:00,10:38:00,In house
72,1,,,5B,10:14:00,11:37:00,Walk in
73,1,,,16,10:19:00,10:42:00,Walk in
74,1,,,8B,10:23:00,11:23:00,Walk in
75,2,,,8A,10:25:00,11:05:00,In house
76,2,,,8C,10:26:00,11:19:00,Walk in
77,2,,,7B,10:30:00,12:00:00,Walk in
78,3,,,1B-2A,10:41:00,11:54:00,Walk in
79,1,,,16,11:00:00,11:29:00,Walk in
80,2,,,1A,11:24:00,12:25:00,In house
81,2,,,6,11:45:00,12:31:00,Walk in
