service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type
1,1,,,6,06:42:00,07:00:00,In house
2,2,,,2,06:44:00,07:10:00,Walk in
3,2,,,7A,07:05:00,08:08:00,Walk in
4,1,,,8A,07:20:00,08:18:00,In house
5,1,,,10A,07:25:00,07:45:00,In house
6,1,,,8B,07:28:00,08:20:00,In house
7,1,,,9,07:33:00,08:05:00,In house
8,5,,,4,07:42:00,08:40:00,Walk in
9,4,,,11,07:48:00,08:21:00,In house
10,2,,,16,07:48:00,08:35:00,In house
11,2,,,6,07:50:00,08:48:00,Walk in
12,1,,,7B,07:56:00,08:15:00,In house
13,1,,,10A,07:59:00,08:35:00,In house
14,1,,,1,08:00:00,09:19:00,Walk in
15,1,,,8C,08:03:00,08:27:00,Walk in
16,2,,,12,08:05:00,08:25:00,In house
17,1,,,14,08:14:00,09:03:00,In house
18,2,,,7A,08:15:00,09:30:00,Walk in
19,1,,,15A,08:16:00,09:05:00,In house
20,1,,,10B,08:19:00,08:35:00,In house
21,4,,,3,08:24:00,10:46:00,Walk in
22,2,,,5,08:25:00,09:22:00,In house
23,2,,,2,08:25:00,10:12:00,Walk in
24,1,,,8A,08:33:00,09:30:00,Walk in
25,1,,,11A,08:41:00,09:25:00,Walk in
26,1,,,16,08:43:00,09:35:00,Walk in
27,1,,,12,08:47:00,09:18:00,In house
28,2,,,10A,08:53:00,09:28:00,In house
29,1,,,7B,08:53:00,09:13:00,In house
30,3,,,6,09:00:00,09:33:00,In house
31,2,,,4,09:05:00,10:00:00,Walk in
32,2,,,8B,09:05:00,09:39:00,In house
33,2,,,15A,09:07:00,10:07:00,Walk in
34,2,,,8A,09:08:00,10:09:00,In house
35,2,,,8,09:16:00,10:06:00,Walk in
36,1,,,12,09:23:00,09:57:00,In house
37,1,,,7C,08:28:00,09:30:00,In house
38,1,,,11A,09:30:00,10:05:00,In house
39,3,,,1,09:36:00,10:50:00,In house
40,2,,,5,09:34:00,10:40:00,Walk in
41,2,,,6,09:42:00,10:30:00,In house
42,1,,,7A,09:53:00,11:00:00,Walk in
43,2,,,16,09:55:00,10:34:00,In house
44,2,,,7B,10:03:00,10:35:00,In house
45,2,,,12,10:05:00,11:06:00,In house
46,2,,,10A,10:08:00,10:50:00,In house
47,2,,,8B,10:10:00,11:10:00,Walk in
48,2,,,4,10:20:00,10:57:00,In house
49,2,,,2,10:32:00,11:00:00,Walk in
50,2,,,6,10:35:00,11:20:00,Walk in
51,2,,,5,10:45:00,11:27:00,In house
52,2,,,9,10:53:00,11:57:00,Walk in
53,2,,,1,10:58:00,11:57:00,Walk in
54,2,,,4,11:00:00,12:03:00,Walk in
55,2,,,16,11:00:00,11:45:00,Walk in
56,2,,,3,11:15:00,11:43:00,In house
57,2,,,2,11:16:00,12:00:00,Walk in
