service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type
1,1.0,,,10A,06:36:00,09:18:00,Walk in
2,2.0,,,5,06:37:00,07:47:00,Walk in
3,1.0,,,6B,06:40:00,09:00:00,Walk in
4,1.0,,,16,06:41:00,07:21:00,In house
5,2.0,,,7A,06:52:00,07:54:00,Walk in
6,1.0,,,1A,06:58:00,07:54:00,Walk in
7,1.0,,,1B,07:00:00,07:23:00,In house
8,4.0,,,4,07:00:00,08:34:00,In house
9,1.0,,,8A,07:05:00,07:30:00,In house
10,1.0,,,7B,07:12:00,07:36:00,In house
11,2.0,,,8B,07:13:00,07:56:00,In house
12,2.0,,,12,07:15:00,07:42:00,In house
13,2.0,,,4,07:20:00,07:56:00,In house
14,1.0,,,11A,07:30:00,08:35:00,Walk in
15,1.0,,,3,07:30:00,07:41:00,In house
16,2.0,,,1B,07:36:00,07:56:00,Walk in
17,1.0,,,8A,07:35:00,08:02:00,In house
18,1.0,,,16,07:37:00,08:50:00,Walk in
19,2.0,,,6,07:40:00,11:20:00,Walk in
20,1.0,,,7B,07:40:00,09:25:00,Walk in
21,1.0,,,7C,07:41:00,07:59:00,In house
22,1.0,,,12,07:46:00,07:56:00,In house
23,2.0,,,3,07:48:00,08:46:00,In house
24,2.0,,,14,07:51:00,08:21:00,Walk in
25,6.0,,,4,07:56:00,08:56:00,Walk in
26,2.0,,,1A,08:05:00,09:04:00,Walk in
27,2.0,,,8B,08:05:00,08:52:00,In house
28,3.0,,,9,08:06:00,08:53:00,Walk in
29,1.0,,,8A,08:16:00,09:29:00,Walk in
30,2.0,,,12,08:23:00,09:07:00,In house
31,2.0,,,1B,08:24:00,09:49:00,Walk in
32,1.0,,,2B,08:33:00,09:13:00,Walk in
33,2.0,,,7A,08:43:00,09:21:00,In house
34,2.0,,,14,08:41:00,09:31:00,Walk in
35,1.0,,,8C,08:43:00,09:20:00,Walk in
36,2.0,,,11B,08:50:00,09:30:00,In house
37,1.0,,,15,08:56:00,09:12:00,In house
38,1.0,,,16,09:05:00,09:37:00,Walk in
39,2.0,,,4,09:05:00,11:15:00,Walk in
40,2.0,,,8B,09:10:00,10:22:00,In house
41,2.0,,,1A,09:14:00,10:23:00,Walk in
42,1.0,,,1B,09:16:00,10:46:00,Walk in
43,3.0,,,11,09:30:00,10:06:00,In house
44,1.0,,,7A,09:32:00,09:53:00,In house
45,3.0,,,10,09:35:00,10:23:00,In house
46,1.0,,,8A,08:36:00,12:13:00,In house
47,2.0,,,2,09:41:00,10:06:00,In house
48,2.0,,,16,09:45:00,10:18:00,In house
49,2.0,,,4,09:50:00,11:51:00,Walk in
50,2.0,,,7A,09:52:00,11:00:00,Walk in
51,2.0,,,5B,09:54:00,10:54:00,In house
52,1.0,,,5A,08:54:00,10:58:00,In house
53,1.0,,,12,10:09:00,10:25:00,Walk in
54,1.0,,,3,10:10:00,11:24:00,In house
55,2.0,,,9,10:11:00,10:43:00,Walk in
56,2.0,,,2,10:20:00,12:15:00,Walk in
57,1.0,,,1A,10:28:00,11:08:00,Walk in
58,3.0,,,7B/7A,10:35:00,11:23:00,In house
59,2.0,,,10,10:37:00,11:09:00,Walk in
60,3.0,,,15,10:39:00,12:11:00,Walk in
61,2.0,,,14,10:40:00,11:24:00,In house
62,2.0,,,16,10:44:00,11:40:00,Walk in
63,1.0,,,8C,10:50:00,11:30:00,In house
64,2.0,,,5,11:04:00,12:02:00,Walk in
65,1.0,,,6B,11:05:00,11:25:00,Walk in
66,1.0,,,7A,11:21:00,11:39:00,Walk in
67,2.0,,,9,11:24:00,11:48:00,In house
68,1.0,,,1,11:23:00,12:02:00,Walk in
69,1.0,,,7B,11:43:00,12:04:00,In house
70,,,,,,,Walk in
